Date,Close,Date,Close,Date,Close
2/28/2017 16:00,844.93,2/28/2017 16:00,50,2/28/2017 16:00,33.94
3/1/2017 16:00,856.75,3/1/2017 16:00,50,3/1/2017 16:00,35.39
3/2/2017 16:00,849.85,3/2/2017 16:00,50.1,3/2/2017 16:00,34.63
3/3/2017 16:00,849.08,3/3/2017 16:00,50.31,3/3/2017 16:00,34.85
3/6/2017 16:00,847.27,3/6/2017 16:00,50.24,3/6/2017 16:00,34.8
3/7/2017 16:00,851.15,3/7/2017 16:00,49.72,3/7/2017 16:00,35.16
3/8/2017 16:00,853.64,3/8/2017 16:00,49.37,3/8/2017 16:00,34.97
3/9/2017 16:00,857.84,3/9/2017 16:00,48.98,3/9/2017 16:00,35.22
3/10/2017 16:00,861.41,3/10/2017 16:00,48.74,3/10/2017 16:00,35.3
3/13/2017 16:00,864.58,3/13/2017 16:00,49.23,3/13/2017 16:00,36.13
3/14/2017 16:00,865.91,3/14/2017 16:00,51.6,3/14/2017 16:00,35.92
3/15/2017 16:00,868.39,3/15/2017 16:00,51.15,3/15/2017 16:00,36.75
3/16/2017 16:00,870,3/16/2017 16:00,52.41,3/16/2017 16:00,36.69
3/17/2017 16:00,872.37,3/17/2017 16:00,52.3,3/17/2017 16:00,36.36
3/20/2017 16:00,867.91,3/20/2017 16:00,52.38,3/20/2017 16:00,36.24
3/21/2017 16:00,850.14,3/21/2017 16:00,50.14,3/21/2017 16:00,35.17
3/22/2017 16:00,849.8,3/22/2017 16:00,51,3/22/2017 16:00,35.29
3/23/2017 16:00,839.65,3/23/2017 16:00,50.96,3/23/2017 16:00,33.53
3/24/2017 16:00,835.14,3/24/2017 16:00,52.63,3/24/2017 16:00,33.71
3/27/2017 16:00,838.51,3/27/2017 16:00,54.04,3/27/2017 16:00,33.85
3/28/2017 16:00,840.63,3/28/2017 16:00,55.49,3/28/2017 16:00,32.94
3/29/2017 16:00,849.87,3/29/2017 16:00,55.48,3/29/2017 16:00,33.54
3/30/2017 16:00,849.48,3/30/2017 16:00,55.58,3/30/2017 16:00,33.28
3/31/2017 16:00,847.8,3/31/2017 16:00,55.66,3/31/2017 16:00,33.67
4/3/2017 16:00,856.75,4/3/2017 16:00,59.7,4/3/2017 16:00,33.75
4/4/2017 16:00,852.57,4/4/2017 16:00,60.74,4/4/2017 16:00,33.93
4/5/2017 16:00,848.91,4/5/2017 16:00,59,4/5/2017 16:00,33.47
4/6/2017 16:00,845.1,4/6/2017 16:00,59.74,4/6/2017 16:00,33.91
4/7/2017 16:00,842.1,4/7/2017 16:00,60.51,4/7/2017 16:00,34.12
4/10/2017 16:00,841.7,4/10/2017 16:00,62.48,4/10/2017 16:00,34.52
4/11/2017 16:00,839.88,4/11/2017 16:00,61.74,4/11/2017 16:00,34.51
4/12/2017 16:00,841.46,4/12/2017 16:00,59.37,4/12/2017 16:00,34.47
4/13/2017 16:00,840.18,4/13/2017 16:00,60.8,4/13/2017 16:00,34.62
4/17/2017 16:00,855.13,4/17/2017 16:00,60.29,4/17/2017 16:00,35.12
4/18/2017 16:00,853.99,4/18/2017 16:00,60.05,4/18/2017 16:00,35.65
4/19/2017 16:00,856.51,4/19/2017 16:00,61.1,4/19/2017 16:00,36.14
4/20/2017 16:00,860.08,4/20/2017 16:00,60.5,4/20/2017 16:00,36.33
4/21/2017 16:00,858.95,4/21/2017 16:00,61.12,4/21/2017 16:00,36.61
4/24/2017 16:00,878.93,4/24/2017 16:00,61.61,4/24/2017 16:00,36.87
4/25/2017 16:00,888.84,4/25/2017 16:00,62.76,4/25/2017 16:00,37.59
4/26/2017 16:00,889.14,4/26/2017 16:00,62.03,4/26/2017 16:00,38.62
4/27/2017 16:00,891.44,4/27/2017 16:00,61.73,4/27/2017 16:00,39.55
4/28/2017 16:00,924.52,4/28/2017 16:00,62.81,4/28/2017 16:00,39
